Date of Booking	No of Occurance	Amount
12/12/2018	91	101498.15
12/13/2018	88	101422.3
12/14/2018	84	102931.34
12/15/2018	139	170024.48
12/16/2018	122	109702.26
12/17/2018	124	153351.86
12/18/2018	102	133125
12/19/2018	109	134334.19
12/20/2018	103	114539.41
12/21/2018	102	120363.58
12/22/2018	101	100261.69
12/23/2018	122	137467.79
12/24/2018	139	177025
12/25/2018	91	91597.45
12/26/2018	79	100059.08
12/27/2018	76	81868.43
12/28/2018	105	120517.49
12/29/2018	75	60847.6
12/30/2018	77	75285.32
12/31/2018	115	120945.71
